Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
28,0,0.012006,0.079095,-1.672634,-1164.490112,-95.986031,1143.279663,0.047837,0.055580,1.446964,352.355408,-176.453735,1134.539917,0.375443,-0.318573,-1.820942,-1214.143311,1.327609,1359.613647,0.016139,0.024563,1.573291,424.148376,-295.439301,1392.908447,0.243526,0.119821,-1.588487,-1229.584106,-216.054565,1352.825562,0.101192,0.116247,1.645997,417.994049,-106.622551,1404.639282,-0.267925,-0.424515,0.525008,-946.917236,-254.094955,1506.984741,-0.550702,1.053183,2.505539,-65.646156,28.381756,1430.809692
29,0,0.010278,0.083173,-1.668176,-1164.033081,-95.513237,1143.206421,0.046354,0.054878,1.449157,352.272217,-176.782028,1134.448730,0.333515,-0.292045,-1.824510,-1212.871582,1.218924,1359.883301,0.015894,0.025705,1.573235,424.028137,-295.510132,1392.845337,0.228157,0.122711,-1.590144,-1228.916992,-216.311356,1352.778198,0.102238,0.109293,1.649691,417.858093,-106.596657,1404.491455,-0.256762,-0.447221,0.540108,-960.145996,-257.253052,1506.915894,-0.543703,1.067963,2.518927,-63.187340,27.870207,1431.748901
30,0,0.010674,0.086148,-1.667270,-1163.610474,-95.006783,1143.148804,0.050883,0.047251,1.452398,352.112823,-177.215393,1134.506348,0.343560,-0.299921,-1.789038,-1213.166382,1.469188,1359.748535,0.014347,0.025968,1.571137,423.852173,-295.530060,1392.779785,0.239317,0.101140,-1.603540,-1228.072266,-216.539215,1352.585083,0.102853,0.092314,1.653157,417.529510,-106.734779,1404.639160,-0.255545,-0.475908,0.539045,-973.584595,-260.695740,1506.830811,-0.537400,1.087979,2.529259,-60.211655,27.382647,1432.870605
31,0,0.011250,0.086532,-1.667979,-1163.284302,-94.425728,1142.988525,0.049734,0.047164,1.454576,351.972229,-177.552063,1134.391724,0.327185,-0.282671,-1.776224,-1211.900024,1.205805,1359.866211,0.013127,0.026558,1.569931,423.659790,-295.498291,1392.731812,0.253657,0.136673,-1.617201,-1227.422852,-216.069885,1352.032959,0.123013,0.102951,1.659322,417.420685,-106.622803,1404.475464,-0.247927,-0.518383,0.545449,-986.684448,-262.982910,1507.040649,-0.511775,1.080745,2.543878,-56.855640,26.720842,1433.851196
32,0,0.010449,0.094058,-1.704494,-1162.533813,-93.873062,1142.725708,0.049490,0.047592,1.457241,351.829437,-177.883987,1134.276245,0.328986,-0.296756,-1.820202,-1210.812622,1.645132,1359.647949,0.016965,0.026704,1.581871,423.487457,-295.368530,1392.644165,0.232958,0.216496,-1.584988,-1225.745850,-217.737991,1352.259277,0.122445,0.107119,1.655750,417.277466,-106.434113,1404.294067,-0.253848,-0.557383,0.532368,-1000.569092,-266.281921,1506.261597,-0.509772,1.107098,2.554418,-52.928978,26.211311,1435.270996
33,0,0.009253,0.101404,-1.716466,-1162.518555,-93.205750,1142.491333,0.044456,0.053933,1.460450,351.749390,-178.079071,1133.956177,0.325012,-0.296495,-1.816881,-1210.247192,1.735328,1359.555908,0.012137,0.027775,1.570055,423.139740,-295.357361,1392.679932,0.223238,0.186570,-1.573468,-1225.101440,-217.314438,1352.078247,0.073343,0.093031,1.627504,416.791626,-106.578362,1404.653687,-0.289825,-0.586582,0.512950,-1014.395264,-269.499207,1505.041138,-0.483987,1.133623,2.562317,-48.596409,25.626446,1436.984497
34,0,0.003317,0.101488,-1.685206,-1161.706665,-92.429619,1142.374390,0.046240,0.053340,1.463406,351.632111,-178.388031,1133.796509,0.354611,-0.298819,-1.789395,-1210.551880,1.868978,1359.555542,0.022597,0.040367,1.579887,422.598755,-295.243378,1392.962891,0.210728,0.181750,-1.586493,-1224.390381,-217.320633,1351.639648,0.082512,0.096801,1.632996,416.542084,-106.396271,1404.472290,-0.285248,-0.605514,0.527151,-1028.070435,-272.567535,1503.706787,-0.497283,1.155862,2.581055,-43.235809,25.770212,1438.963135
35,0,0.004198,0.110359,-1.705638,-1161.760010,-91.773903,1142.164307,0.046008,0.053214,1.465316,351.485046,-178.705963,1133.659180,0.338017,-0.284834,-1.766340,-1209.639771,1.991957,1359.262085,0.022233,0.041715,1.580654,422.265076,-295.126251,1392.975830,0.226628,0.234008,-1.567990,-1222.691772,-217.115692,1351.293945,0.055929,0.090942,1.624607,416.212677,-106.206802,1404.277954,-0.310572,-0.626503,0.528767,-1041.584106,-275.383118,1502.040649,-0.481072,1.182551,2.590415,-37.256886,25.729738,1441.147461
36,0,-0.002401,0.112710,-1.707721,-1161.498901,-91.126686,1141.944946,0.045831,0.053869,1.468373,351.342712,-179.018890,1133.548584,0.290157,-0.272197,-1.787623,-1208.032837,1.778005,1359.632324,0.010434,0.031263,1.569459,422.199127,-295.042053,1392.667725,0.230430,0.243304,-1.565049,-1221.922241,-217.090240,1351.326904,0.061589,0.104959,1.628532,415.707245,-106.167618,1404.282837,-0.317660,-0.658899,0.520266,-1054.724731,-278.234406,1500.357178,-0.466095,1.205217,2.603029,-30.693468,25.651468,1443.457031
37,0,-0.023822,0.073268,-1.556934,-1161.642822,-90.267326,1141.547119,0.044611,0.054999,1.472249,351.195007,-179.297104,1133.441650,0.246431,-0.258777,-1.796007,-1207.807373,1.952656,1359.816895,0.019203,0.041848,1.577618,421.657043,-294.998077,1392.904785,0.218420,0.210467,-1.553509,-1220.715820,-217.044907,1350.841431,0.082691,0.105920,1.640083,415.281250,-106.053993,1404.072144,-0.309679,-0.703626,0.506153,-1067.297119,-280.717987,1498.356934,-0.437187,1.219048,2.618830,-23.661070,25.419170,1445.856812
38,0,-0.010235,0.064773,-1.581030,-1161.608887,-89.587814,1141.496338,0.043971,0.054696,1.475778,351.068756,-179.569778,1133.320679,0.304948,-0.258987,-1.812876,-1208.328491,1.999599,1358.721313,0.012456,0.032518,1.581548,421.450531,-295.011261,1392.627808,0.245995,0.259050,-1.582117,-1220.357300,-215.955109,1349.279907,0.080245,0.105517,1.638408,414.731781,-106.054070,1404.018433,-0.310083,-0.726668,0.503527,-1079.533936,-283.374390,1496.275879,-0.406068,1.266793,2.627215,-15.527763,25.416195,1448.322510
39,0,-0.013608,0.064193,-1.575377,-1161.343994,-88.825462,1141.327759,0.040024,0.052850,1.486933,350.877411,-179.887466,1132.998657,0.300586,-0.268332,-1.809438,-1207.474854,1.971252,1358.739746,0.019709,0.041002,1.589252,420.891907,-294.961975,1392.831421,0.210994,0.259369,-1.556764,-1219.337402,-216.324127,1349.374512,0.071849,0.102997,1.630905,414.168671,-106.028664,1403.929565,-0.310619,-0.748163,0.501040,-1091.234863,-285.968292,1493.995972,-0.446407,1.332494,2.640615,-7.162823,24.808514,1450.613037
