Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
36,0,-0.053395,0.084092,-1.600135,-1178.500244,-85.311783,1140.164673,-0.007471,0.031678,1.457270,391.583496,-191.226883,1130.945068,0.170819,-0.258830,-1.774052,-1208.415649,16.720936,1350.983154,0.032984,-0.026759,1.570606,455.630280,-298.846283,1384.138916,0.102548,0.288109,-1.490397,-1213.281006,-203.591278,1347.224121,0.104346,0.088622,1.564762,461.610138,-111.450722,1398.106201,-0.043142,-0.472092,0.493029,-907.363037,-258.624542,1468.216919,-0.667424,1.155736,2.639960,-3.779825,-29.738537,1449.087280
37,0,-0.068228,0.080046,-1.589301,-1177.773560,-85.138794,1140.354492,0.000265,0.025777,1.460719,391.718140,-191.692108,1131.090820,0.235427,-0.325981,-1.767079,-1204.557251,16.714636,1351.147705,0.021041,-0.036267,1.539348,456.579071,-299.200104,1384.029541,0.115109,0.298685,-1.507914,-1213.320435,-204.005356,1347.231323,0.092304,0.085660,1.563250,461.238342,-112.221901,1398.553467,-0.062273,-0.490343,0.503969,-920.961365,-260.519379,1469.545532,-0.661616,1.126604,2.631580,-8.989817,-28.946999,1448.067261
38,0,-0.043251,0.090565,-1.622143,-1177.558716,-85.191544,1139.981323,-0.005247,0.031119,1.460831,391.863495,-191.981232,1131.001343,0.224645,-0.285402,-1.744889,-1204.320068,16.543961,1351.291138,0.019316,-0.038383,1.558852,457.477478,-299.734833,1384.061035,0.093886,0.291373,-1.501894,-1213.344849,-204.308014,1346.837036,0.094462,0.105080,1.569083,460.874390,-112.813370,1398.561157,-0.055349,-0.518732,0.517775,-934.557922,-262.642517,1470.763550,-0.680105,1.134036,2.608020,-13.708676,-27.758581,1447.042114
39,0,-0.043100,0.089383,-1.614143,-1176.985596,-84.936005,1140.036743,-0.006164,0.029549,1.461189,391.931213,-192.329483,1131.064453,0.223831,-0.281275,-1.750597,-1203.401123,16.298975,1351.237793,0.022939,-0.035957,1.552707,457.912628,-300.370697,1384.089722,0.115727,0.298609,-1.525206,-1213.059082,-204.740952,1346.793213,0.093844,0.087858,1.573610,460.728424,-113.293945,1398.638916,-0.062855,-0.542767,0.527626,-947.817505,-264.711151,1471.494873,-0.691713,1.132354,2.587716,-17.878681,-26.590084,1446.016968
40,0,-0.044839,0.088670,-1.617119,-1176.473267,-84.908096,1139.588867,-0.006839,0.027858,1.462623,391.975372,-192.656403,1131.105591,0.203812,-0.284044,-1.746917,-1202.687378,16.370892,1351.102417,0.026233,-0.034293,1.561816,458.544373,-300.956421,1384.111816,0.112354,0.296479,-1.523354,-1212.957153,-204.992340,1346.307129,0.081427,0.087175,1.572687,460.412445,-113.886414,1398.848267,-0.079346,-0.558688,0.538790,-960.857056,-266.677521,1471.805176,-0.630444,1.091574,2.562808,-21.306009,-24.192406,1445.571045
41,0,-0.046889,0.089923,-1.614775,-1175.819824,-84.670822,1139.431519,-0.006156,0.027309,1.465341,392.017578,-192.968964,1131.133545,0.238132,-0.280865,-1.759623,-1202.568115,16.074015,1350.449585,0.022211,-0.039115,1.568341,459.370667,-301.514404,1384.097534,0.114100,0.297846,-1.521986,-1212.748047,-205.195343,1346.006958,0.120517,0.090898,1.598785,459.948303,-114.214111,1398.673462,-0.069119,-0.589031,0.545479,-973.870911,-268.890289,1472.203735,-0.643737,1.102627,2.540241,-24.540106,-22.719301,1444.797363
42,0,-0.049676,0.089521,-1.611109,-1175.241699,-84.432495,1139.228760,-0.003182,0.027975,1.469423,392.045135,-193.291824,1131.141602,0.265626,-0.292057,-1.767604,-1201.476807,15.432568,1350.735229,0.024607,-0.039951,1.563142,459.807007,-302.102142,1384.035889,0.098633,0.299943,-1.509180,-1212.657227,-205.342758,1345.509399,0.116832,0.087152,1.603147,459.524384,-114.930832,1398.866089,-0.073623,-0.613966,0.549372,-986.419434,-270.953705,1471.997314,-0.653070,1.112953,2.520659,-27.278265,-21.261496,1444.134399
43,0,-0.050427,0.088011,-1.611284,-1174.703735,-84.132889,1139.043335,-0.001170,0.028482,1.472551,392.063568,-193.602280,1131.150269,0.211116,-0.296323,-1.780571,-1201.396973,15.712615,1350.837036,0.025258,-0.028099,1.571461,460.489685,-302.569244,1383.727539,0.101495,0.341729,-1.520993,-1212.740112,-205.271835,1345.020508,0.140730,0.093370,1.619368,459.240234,-115.610237,1399.151611,-0.074942,-0.634487,0.555255,-998.640564,-272.918243,1471.430542,-0.668041,1.120666,2.507619,-29.789011,-20.041796,1443.598022
44,0,-0.050766,0.088461,-1.613235,-1174.166382,-83.754707,1138.878296,-0.000864,0.029580,1.474280,392.073822,-193.885498,1131.154175,0.223514,-0.285120,-1.798966,-1200.624756,15.265689,1350.717407,0.027350,-0.026360,1.577392,460.972900,-303.088501,1383.682495,0.116478,0.307820,-1.526452,-1212.048706,-206.257553,1345.359253,0.129650,0.091137,1.617638,458.922485,-116.126953,1399.197632,-0.077966,-0.649420,0.562109,-1010.410889,-274.890442,1470.690796,-0.665163,1.115734,2.494619,-31.636347,-18.794449,1443.077148
45,0,-0.050274,0.090667,-1.616199,-1173.674561,-83.397247,1138.722656,-0.001391,0.029513,1.476223,392.058014,-194.161514,1131.171509,0.173076,-0.260868,-1.823852,-1200.601807,15.092882,1350.223511,0.025974,-0.027993,1.578674,461.489990,-303.583099,1383.635376,0.116369,0.308474,-1.530229,-1211.808716,-206.495285,1345.166504,0.125672,0.090796,1.616735,458.657898,-116.649582,1399.290771,-0.083410,-0.669258,0.563567,-1021.748169,-276.741699,1469.653931,-0.668892,1.128109,2.476640,-33.124622,-17.433960,1442.655884
