Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
21,0,-0.093192,0.082469,-1.295544,-1151.048584,-62.439739,1137.278442,0.016303,0.052634,1.408824,447.928436,-183.464035,1133.125366,0.069503,-0.258493,-1.298137,-1221.043213,40.385300,1326.098511,0.008651,-0.026856,1.558942,514.101257,-300.035431,1386.822021,-0.009573,0.201117,-1.130656,-1143.323242,-162.180084,1346.140991,0.095934,0.066959,1.581081,518.572449,-113.513031,1400.776489,0.028139,-0.063513,0.263637,-608.929871,-199.892548,1446.990112,-0.541188,0.990206,2.572137,28.651308,-44.301270,1459.782959
22,0,-0.093396,0.083364,-1.299016,-1151.002686,-62.352356,1137.223022,0.016753,0.052800,1.412998,447.749603,-184.130112,1133.177856,0.068711,-0.259203,-1.298502,-1220.900513,40.480427,1325.972046,0.011159,-0.022525,1.571175,514.250061,-300.477905,1386.800537,-0.009685,0.199516,-1.131372,-1143.425293,-162.162369,1346.188354,0.131381,0.079035,1.604093,518.253723,-113.912415,1400.891357,0.028051,-0.073941,0.263330,-611.271057,-200.068726,1448.858154,-0.541392,0.997339,2.577209,28.782930,-43.722214,1460.193970
23,0,-0.091632,0.069295,-1.270591,-1151.180298,-62.398674,1137.046021,0.016089,0.054063,1.416660,447.634613,-184.692932,1133.173462,0.067881,-0.260027,-1.299465,-1220.640015,40.522621,1325.840454,0.012131,-0.022613,1.572482,514.440857,-300.804779,1386.752686,-0.009287,0.199529,-1.133369,-1143.555054,-162.272720,1346.148193,0.129033,0.082285,1.607387,517.922485,-114.083794,1400.781006,0.026722,-0.089026,0.268669,-614.418579,-200.182648,1450.913696,-0.537068,1.002161,2.585395,29.551384,-43.213604,1460.941895
24,0,-0.087196,0.073062,-1.292448,-1151.327881,-62.460289,1136.925171,0.017759,0.054681,1.420623,447.503937,-185.256958,1133.120117,0.066708,-0.259465,-1.305422,-1220.242676,40.607372,1325.731201,0.012184,-0.021784,1.573412,514.549927,-301.061249,1386.693481,-0.008746,0.198376,-1.135797,-1143.803223,-162.545746,1346.003906,0.126817,0.084032,1.609982,517.612122,-114.205200,1400.652588,0.027511,-0.102521,0.273362,-618.238708,-200.224716,1453.193115,-0.527315,0.995652,2.594428,30.841702,-42.753944,1461.802368
25,0,-0.089017,0.060955,-1.254539,-1151.198853,-62.597656,1136.691895,0.021990,0.055910,1.425719,447.330322,-185.769073,1133.096924,0.066388,-0.259822,-1.314980,-1219.733643,40.657463,1325.582520,0.011918,-0.021171,1.573840,514.572937,-301.222412,1386.644043,-0.028636,0.201621,-1.136472,-1143.686523,-162.536011,1346.166992,0.125320,0.085713,1.610372,517.324890,-114.285583,1400.516846,0.026054,-0.120839,0.278350,-622.647827,-200.324783,1455.550171,-0.509773,1.002716,2.606118,32.590614,-42.222439,1462.973267
26,0,-0.101393,0.083184,-1.300769,-1150.714233,-62.452808,1136.757446,0.026681,0.058002,1.431506,447.152344,-186.292847,1133.088379,0.077266,-0.260154,-1.316117,-1219.049927,40.768414,1325.453857,0.011627,-0.020073,1.574084,514.526733,-301.315887,1386.601318,-0.022788,0.200545,-1.142277,-1144.159180,-163.106567,1345.805542,0.125163,0.087272,1.611157,517.070984,-114.266304,1400.357666,0.025102,-0.138937,0.284026,-627.595886,-200.379440,1457.992798,-0.491747,1.007519,2.616914,35.062119,-41.660141,1464.012939
27,0,-0.101441,0.087512,-1.309041,-1150.873779,-62.659725,1136.598511,0.032105,0.052502,1.438693,446.867859,-186.921326,1133.353394,0.075956,-0.259166,-1.317089,-1218.412231,40.589191,1325.241943,0.011184,-0.019591,1.573243,514.436829,-301.306732,1386.552490,-0.009832,0.193159,-1.143295,-1144.513306,-163.603729,1345.704590,0.111700,0.088823,1.603636,516.720886,-114.388687,1400.510986,0.024045,-0.157544,0.290612,-633.165405,-200.511810,1460.399902,-0.487335,1.016882,2.627194,38.056026,-40.973602,1464.981934
28,0,-0.086197,0.088649,-1.332268,-1150.978027,-62.958397,1136.404053,0.026072,0.061159,1.439070,446.800446,-187.274765,1133.159668,0.097386,-0.255306,-1.328016,-1217.681030,40.154819,1324.927856,0.010869,-0.018312,1.573101,514.292236,-301.241791,1386.529663,-0.001668,0.182350,-1.145372,-1145.298950,-164.369339,1345.190186,0.108964,0.088282,1.604071,516.663025,-114.087860,1400.210083,0.015335,-0.201320,0.280565,-639.615601,-200.196259,1462.579468,-0.468220,1.020505,2.639799,41.516411,-40.288750,1465.773438
29,0,-0.075352,0.100424,-1.337468,-1151.127808,-63.661247,1135.949097,0.024447,0.061012,1.441945,446.641876,-187.608765,1133.125366,0.077364,-0.260427,-1.326019,-1216.744629,40.137100,1324.859741,0.010679,-0.017181,1.572031,514.084412,-301.079010,1386.505981,-0.002331,0.182609,-1.151010,-1146.006836,-165.164581,1344.724976,0.107424,0.086814,1.603518,516.567688,-113.793091,1400.027466,0.012391,-0.220074,0.289565,-646.245667,-200.468079,1465.047119,-0.465021,1.044804,2.647316,45.558590,-39.426884,1466.692017
30,0,-0.081852,0.083453,-1.344003,-1150.661133,-63.560886,1136.133057,0.028471,0.052926,1.447977,446.425110,-187.958466,1133.259521,0.080638,-0.260493,-1.339193,-1215.862061,40.020485,1324.822754,0.011296,-0.014918,1.572599,513.779785,-300.871460,1386.505371,0.009431,0.178413,-1.158606,-1146.643799,-165.898178,1344.494019,0.099549,0.098565,1.599575,516.367920,-113.596855,1400.084595,0.017617,-0.240288,0.292899,-653.406372,-200.856873,1467.546509,-0.461042,1.060740,2.657889,50.011822,-38.591026,1467.408691
31,0,-0.049934,0.052333,-1.261187,-1151.297119,-64.465042,1135.807983,0.027940,0.052508,1.450718,446.303680,-188.192688,1133.229004,0.078875,-0.258150,-1.356258,-1214.808960,39.810970,1324.902954,0.024013,-0.004745,1.600309,513.069824,-300.707520,1387.053955,0.003561,0.178040,-1.161547,-1147.361328,-166.764282,1344.168823,0.107002,0.090182,1.604727,516.371765,-113.208122,1399.910889,0.009618,-0.264288,0.297043,-661.149170,-201.148529,1469.995850,-0.447372,1.082735,2.672650,55.120018,-37.671772,1468.051880
32,0,-0.040968,0.046595,-1.263687,-1151.191650,-64.964134,1135.610352,0.027536,0.052207,1.453135,446.178955,-188.388367,1133.210693,0.078883,-0.258075,-1.359189,-1213.814697,39.388996,1324.827759,0.023947,-0.007579,1.600815,512.888550,-300.372162,1387.080078,-0.002221,0.179182,-1.165766,-1148.032593,-167.659470,1343.937622,0.107784,0.076815,1.602316,516.214722,-112.921219,1399.961792,0.016549,-0.279432,0.311573,-669.535339,-201.179153,1472.196777,-0.438652,1.095682,2.685682,60.698460,-36.902184,1468.703003
